iter	Logloss
0	0.6417486776
1	0.6018131663
2	0.5699799754
3	0.5443953807
4	0.5237928975
5	0.5069490763
6	0.4934725138
7	0.4826167755
8	0.4746737925
9	0.4672889048
10	0.4620291545
11	0.4581818644
12	0.4548014882
13	0.4513439585
14	0.4488580068
15	0.4466388702
16	0.4446145325
17	0.4429452566
18	0.4413718058
19	0.4403493856
20	0.439172231
21	0.4383409119
22	0.4376413574
23	0.4368623047
24	0.4363667857
25	0.4357234294
26	0.4351705882
27	0.4345673879
28	0.4341946971
29	0.4338613434
30	0.4335417531
31	0.4332362874
32	0.4329310303
33	0.4324826253
34	0.4321840668
35	0.4319365438
36	0.4316631724
37	0.4314167684
38	0.4311300761
39	0.4309159597
40	0.4305686646
41	0.4303280792
42	0.4301690369
43	0.4298777822
44	0.4296469065
45	0.4294039917
46	0.4292500509
47	0.4291117655
48	0.4289549459
49	0.4287613831
50	0.4285586802
51	0.4284504293
52	0.4283219808
53	0.428054718
54	0.4279091288
55	0.4277783915
56	0.4276266429
57	0.4275095571
58	0.4274186096
59	0.4272826538
60	0.4271750183
61	0.4270851593
62	0.4269778188
63	0.4268516439
64	0.4267613373
65	0.4266957957
66	0.4265197906
67	0.4263904266
68	0.426308492
69	0.4262253672
70	0.4261204732
71	0.4260627645
72	0.4259520772
73	0.4258869527
74	0.4257596385
75	0.4256627757
76	0.4255094401
77	0.4254541168
78	0.4253692576
79	0.4253270721
80	0.4252448883
81	0.4251695964
82	0.4249609426
83	0.4249019165
84	0.4247794291
85	0.4246580861
86	0.4245828145
87	0.4244803365
88	0.4243957621
89	0.4243189138
90	0.4242105001
91	0.4241625875
92	0.4240575663
93	0.4240234782
94	0.4239164785
95	0.4238033752
96	0.4236782176
97	0.4236264242
98	0.4235037231
99	0.4234453583
