iter	Passed	Remaining
0	43	4340
1	85	4192
2	125	4070
3	165	3983
4	205	3909
5	246	3856
6	287	3813
7	325	3747
8	367	3716
9	406	3662
10	447	3621
11	486	3567
12	524	3510
13	563	3460
14	602	3416
15	641	3367
16	679	3318
17	718	3271
18	759	3237
19	798	3193
20	836	3148
21	876	3106
22	913	3057
23	952	3015
24	990	2970
25	995	2834
26	1034	2795
27	1072	2758
28	1113	2726
29	1120	2613
30	1125	2504
31	1169	2486
32	1212	2462
33	1256	2439
34	1297	2409
35	1336	2376
36	1378	2346
37	1420	2317
38	1464	2290
39	1508	2262
40	1549	2230
41	1589	2195
42	1631	2163
43	1671	2127
44	1709	2089
45	1747	2051
46	1787	2015
47	1825	1978
48	1865	1941
49	1904	1904
50	1945	1868
51	1982	1830
52	2019	1791
53	2059	1754
54	2098	1716
55	2136	1678
56	2175	1640
57	2215	1604
58	2259	1570
59	2302	1534
60	2341	1497
61	2382	1459
62	2423	1423
63	2464	1386
64	2506	1349
65	2550	1313
66	2592	1276
67	2634	1239
68	2675	1202
69	2716	1164
70	2766	1129
71	2809	1092
72	2850	1054
73	2892	1016
74	2933	977
75	2973	938
76	3014	900
77	3053	861
78	3093	822
79	3133	783
80	3173	744
81	3214	705
82	3256	667
83	3298	628
84	3338	589
85	3379	550
86	3419	510
87	3460	471
88	3505	433
89	3547	394
90	3587	354
